Player0: NOK-AV
Player1: NOK-AV
--- units: 4
Units on each side: 12
Win average: 0.0
Win average: 0.5
Win average: 0.6666666666666666
Win average: 0.75
Win average: 0.8
Win average: 0.8333333333333334
Win average: 0.8571428571428571
Win average: 0.875
Win average: 0.8888888888888888
Win average: 0.9
Win average: 0.8181818181818182
Win average: 0.75
Win average: 0.7692307692307693
Win average: 0.7857142857142857
Win average: 0.7333333333333333
Win average: 0.6875
Win average: 0.6470588235294118
Win average: 0.6111111111111112
Win average: 0.5789473684210527
Win average: 0.6
Win average: 0.5714285714285714
Win average: 0.5909090909090909
Win average: 0.5652173913043478
Win average: 0.5416666666666666
Win average: 0.56
Win average: 0.5384615384615384
Win average: 0.5555555555555556
Win average: 0.5714285714285714
Win average: 0.5862068965517241
Win average: 0.6
Win average: 0.6129032258064516
Win average: 0.625
Win average: 0.6363636363636364
Win average: 0.6470588235294118
Win average: 0.6571428571428571
Win average: 0.6666666666666666
Win average: 0.6756756756756757
Win average: 0.6842105263157895
Win average: 0.6923076923076923
Win average: 0.7
Win average: 0.7073170731707317
Win average: 0.7142857142857143
Win average: 0.6976744186046512
Win average: 0.6818181818181818
Win average: 0.6888888888888889
Win average: 0.6956521739130435
Win average: 0.7021276595744681
Win average: 0.7083333333333334
Win average: 0.7142857142857143
Win average: 0.7
Win average: 0.7058823529411765
Win average: 0.7115384615384616
Win average: 0.7169811320754716
Win average: 0.7037037037037037
Win average: 0.6909090909090909
Win average: 0.6785714285714286
Win average: 0.6666666666666666
Win average: 0.6724137931034483
Win average: 0.6779661016949152
Win average: 0.6833333333333333
Win average: 0.6721311475409836
Win average: 0.6612903225806451
Win average: 0.6507936507936508
Win average: 0.640625
Win average: 0.6461538461538462
Win average: 0.6515151515151515
Win average: 0.6567164179104478
Win average: 0.6617647058823529
Win average: 0.6521739130434783
Win average: 0.6571428571428571
Win average: 0.647887323943662
Win average: 0.6527777777777778
Win average: 0.6575342465753424
Win average: 0.6486486486486487
Win average: 0.6533333333333333
Win average: 0.6578947368421053
Win average: 0.6623376623376623
Win average: 0.6666666666666666
Win average: 0.6582278481012658
Win average: 0.6625
Win average: 0.654320987654321
Win average: 0.6585365853658537
Win average: 0.6506024096385542
Win average: 0.6428571428571429
Win average: 0.6470588235294118
Win average: 0.6511627906976745
Win average: 0.6551724137931034
Win average: 0.6590909090909091
Win average: 0.6629213483146067
Win average: 0.6666666666666666
Win average: 0.6593406593406593
Win average: 0.6521739130434783
Win average: 0.6559139784946236
Win average: 0.6595744680851063
Win average: 0.6631578947368421
Win average: 0.6666666666666666
Win average: 0.6597938144329897
Win average: 0.6632653061224489
Win average: 0.6565656565656566
Win average: 0.66
--------------- Score average: 55.16	Deviation: 140.8831941716258
--------------- Win average: 0.66
AI GAME TEST RESULT: 0.66
--- units: 8
Units on each side: 24
Win average: 1.0
Win average: 0.5
Win average: 0.3333333333333333
Win average: 0.5
Win average: 0.4
Win average: 0.3333333333333333
Win average: 0.42857142857142855
Win average: 0.5
Win average: 0.5555555555555556
Win average: 0.6
Win average: 0.6363636363636364
Win average: 0.6666666666666666
Win average: 0.6153846153846154
Win average: 0.6428571428571429
Win average: 0.6666666666666666
Win average: 0.6875
Win average: 0.7058823529411765
Win average: 0.6666666666666666
Win average: 0.631578947368421
Win average: 0.65
Win average: 0.6666666666666666
Win average: 0.6818181818181818
Win average: 0.6521739130434783
Win average: 0.6666666666666666
Win average: 0.68
Win average: 0.6538461538461539
Win average: 0.6296296296296297
Win average: 0.6428571428571429
Win average: 0.6206896551724138
Win average: 0.6
Win average: 0.5806451612903226
Win average: 0.59375
Win average: 0.6060606060606061
Win average: 0.5882352941176471
Win average: 0.5714285714285714
Win average: 0.5833333333333334
Win average: 0.5675675675675675
Win average: 0.5789473684210527
Win average: 0.5897435897435898
Win average: 0.6
Win average: 0.5853658536585366
Win average: 0.5714285714285714
Win average: 0.5813953488372093
Win average: 0.5681818181818182
Win average: 0.5555555555555556
Win average: 0.5652173913043478
Win average: 0.5531914893617021
Win average: 0.5625
Win average: 0.5714285714285714
Win average: 0.58
Win average: 0.5882352941176471
Win average: 0.5961538461538461
Win average: 0.6037735849056604
Win average: 0.5925925925925926
Win average: 0.6
Win average: 0.6071428571428571
Win average: 0.5964912280701754
Win average: 0.603448275862069
Win average: 0.6101694915254238
Win average: 0.6166666666666667
Win average: 0.6229508196721312
Win average: 0.6129032258064516
Win average: 0.6190476190476191
Win average: 0.625
Win average: 0.6307692307692307
Win average: 0.6363636363636364
Win average: 0.6417910447761194
Win average: 0.6470588235294118
Win average: 0.6376811594202898
Win average: 0.6285714285714286
Win average: 0.6338028169014085
Win average: 0.6388888888888888
Win average: 0.6301369863013698
Win average: 0.6351351351351351
Win average: 0.64
Win average: 0.6447368421052632
Win average: 0.6493506493506493
Win average: 0.6410256410256411
Win average: 0.6329113924050633
Win average: 0.6375
Win average: 0.6419753086419753
Win average: 0.6341463414634146
Win average: 0.6385542168674698
Win average: 0.6428571428571429
Win average: 0.6352941176470588
Win average: 0.6395348837209303
Win average: 0.6436781609195402
Win average: 0.6477272727272727
Win average: 0.651685393258427
Win average: 0.6444444444444445
Win average: 0.6373626373626373
Win average: 0.6304347826086957
Win average: 0.6236559139784946
Win average: 0.6276595744680851
Win average: 0.631578947368421
Win average: 0.6354166666666666
Win average: 0.6391752577319587
Win average: 0.6428571428571429
Win average: 0.6464646464646465
Win average: 0.65
--------------- Score average: 58.3	Deviation: 129.2399705973349
--------------- Win average: 0.65
AI GAME TEST RESULT: 0.65
--- units: 16
Units on each side: 48
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.8333333333333334
Win average: 0.7142857142857143
Win average: 0.625
Win average: 0.5555555555555556
Win average: 0.6
Win average: 0.6363636363636364
Win average: 0.6666666666666666
Win average: 0.6153846153846154
Win average: 0.6428571428571429
Win average: 0.6666666666666666
Win average: 0.6875
Win average: 0.7058823529411765
Win average: 0.7222222222222222
Win average: 0.7368421052631579
Win average: 0.75
Win average: 0.7619047619047619
Win average: 0.7727272727272727
Win average: 0.782608695652174
Win average: 0.7916666666666666
Win average: 0.76
Win average: 0.7692307692307693
Win average: 0.7777777777777778
Win average: 0.7857142857142857
Win average: 0.7931034482758621
Win average: 0.8
Win average: 0.7741935483870968
Win average: 0.78125
Win average: 0.7575757575757576
Win average: 0.7647058823529411
Win average: 0.7714285714285715
Win average: 0.75
Win average: 0.7297297297297297
Win average: 0.7105263157894737
Win average: 0.717948717948718
Win average: 0.7
Win average: 0.6829268292682927
Win average: 0.6904761904761905
Win average: 0.6976744186046512
Win average: 0.7045454545454546
Win average: 0.6888888888888889
