Player0: NOK-AV
Player1: NOK-AV
--- units: 50
Units on each side: 150
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.75
Win average: 0.8
Win average: 0.8333333333333334
Win average: 0.7142857142857143
Win average: 0.625
Win average: 0.6666666666666666
Win average: 0.6
Win average: 0.6363636363636364
Win average: 0.6666666666666666
Win average: 0.6923076923076923
Win average: 0.6428571428571429
Win average: 0.6
Win average: 0.5625
Win average: 0.5882352941176471
Win average: 0.6111111111111112
Win average: 0.631578947368421
Win average: 0.6
Win average: 0.6190476190476191
Win average: 0.5909090909090909
Win average: 0.6086956521739131
Win average: 0.5833333333333334
Win average: 0.6
Win average: 0.6153846153846154
Win average: 0.6296296296296297
Win average: 0.6071428571428571
Win average: 0.5862068965517241
Win average: 0.6
Win average: 0.6129032258064516
Win average: 0.625
Win average: 0.6363636363636364
Win average: 0.6176470588235294
Win average: 0.6285714285714286
Win average: 0.6388888888888888
Win average: 0.6486486486486487
Win average: 0.6578947368421053
Win average: 0.6410256410256411
Win average: 0.625
Win average: 0.6341463414634146
Win average: 0.6190476190476191
Win average: 0.6046511627906976
Win average: 0.6136363636363636
Win average: 0.6222222222222222
Win average: 0.6086956521739131
Win average: 0.6170212765957447
Win average: 0.6041666666666666
Win average: 0.6122448979591837
Win average: 0.62
Win average: 0.6274509803921569
Win average: 0.6153846153846154
Win average: 0.6226415094339622
Win average: 0.6111111111111112
Win average: 0.6
Win average: 0.6071428571428571
Win average: 0.6140350877192983
Win average: 0.6206896551724138
Win average: 0.6101694915254238
Win average: 0.6166666666666667
Win average: 0.6065573770491803
Win average: 0.6129032258064516
Win average: 0.6190476190476191
Win average: 0.609375
Win average: 0.6
Win average: 0.5909090909090909
Win average: 0.582089552238806
Win average: 0.5882352941176471
Win average: 0.5797101449275363
Win average: 0.5714285714285714
Win average: 0.5774647887323944
Win average: 0.5833333333333334
Win average: 0.589041095890411
Win average: 0.5945945945945946
Win average: 0.5866666666666667
Win average: 0.5921052631578947
Win average: 0.5974025974025974
Win average: 0.6025641025641025
Win average: 0.5949367088607594
Win average: 0.5875
Win average: 0.5925925925925926
Win average: 0.5853658536585366
Win average: 0.5783132530120482
Win average: 0.5714285714285714
Win average: 0.5764705882352941
Win average: 0.5813953488372093
Win average: 0.5862068965517241
Win average: 0.5909090909090909
Win average: 0.5955056179775281
Win average: 0.6
Win average: 0.6043956043956044
Win average: 0.6086956521739131
Win average: 0.6021505376344086
Win average: 0.6063829787234043
Win average: 0.6
Win average: 0.6041666666666666
Win average: 0.5979381443298969
Win average: 0.6020408163265306
Win average: 0.5959595959595959
Win average: 0.59
Win average: 0.5841584158415841
Win average: 0.5882352941176471
Win average: 0.5922330097087378
Win average: 0.5865384615384616
Win average: 0.5904761904761905
Win average: 0.5943396226415094
Win average: 0.5887850467289719
Win average: 0.5925925925925926
Win average: 0.5963302752293578
Win average: 0.6
Win average: 0.6036036036036037
Win average: 0.6071428571428571
Win average: 0.6106194690265486
Win average: 0.6140350877192983
Win average: 0.6173913043478261
Win average: 0.6206896551724138
Win average: 0.6239316239316239
Win average: 0.6271186440677966
Win average: 0.6302521008403361
Win average: 0.625
Win average: 0.628099173553719
Win average: 0.6311475409836066
Win average: 0.6341463414634146
Win average: 0.6370967741935484
Win average: 0.632
Win average: 0.626984126984127
Win average: 0.6299212598425197
Win average: 0.6328125
Win average: 0.627906976744186
Win average: 0.6307692307692307
Win average: 0.6335877862595419
Win average: 0.6287878787878788
Win average: 0.631578947368421
Win average: 0.6343283582089553
Win average: 0.6370370370370371
Win average: 0.6397058823529411
Win average: 0.6423357664233577
Win average: 0.6376811594202898
Win average: 0.6402877697841727
Win average: 0.6357142857142857
Win average: 0.6312056737588653
Win average: 0.6338028169014085
Win average: 0.6293706293706294
Win average: 0.625
Win average: 0.6275862068965518
Win average: 0.6232876712328768
Win average: 0.6190476190476191
Win average: 0.6216216216216216
Win average: 0.6241610738255033
Win average: 0.6266666666666667
Win average: 0.6225165562913907
Win average: 0.625
Win average: 0.6209150326797386
Win average: 0.6233766233766234
Win average: 0.6258064516129033
Win average: 0.6217948717948718
Win average: 0.6242038216560509
Win average: 0.6265822784810127
Win average: 0.6226415094339622
Win average: 0.61875
Win average: 0.6211180124223602
Win average: 0.6234567901234568
Win average: 0.6257668711656442
Win average: 0.6280487804878049
Win average: 0.6242424242424243
Win average: 0.6265060240963856
Win average: 0.6287425149700598
Win average: 0.6309523809523809
Win average: 0.6331360946745562
Win average: 0.6352941176470588
Win average: 0.6374269005847953
Win average: 0.6395348837209303
Win average: 0.6358381502890174
Win average: 0.6379310344827587
Win average: 0.64
Win average: 0.6363636363636364
Win average: 0.6384180790960452
Win average: 0.6404494382022472
Win average: 0.6424581005586593
Win average: 0.6444444444444445
Win average: 0.6464088397790055
Win average: 0.6483516483516484
Win average: 0.6502732240437158
Win average: 0.6467391304347826
Win average: 0.6486486486486487
