Player0: NOK-AV
Player1: KiteDPS
Win average: 0.8596491228070176
Win average: 0.8448275862068966
Win average: 0.847457627118644
Win average: 0.85
Win average: 0.8524590163934426
Win average: 0.8548387096774194
Win average: 0.8571428571428571
Win average: 0.859375
Win average: 0.8615384615384616
Win average: 0.8636363636363636
Win average: 0.8656716417910447
Win average: 0.8529411764705882
Win average: 0.855072463768116
Win average: 0.8428571428571429
Win average: 0.8450704225352113
Win average: 0.8472222222222222
Win average: 0.8356164383561644
Win average: 0.8378378378378378
Win average: 0.84
Win average: 0.8421052631578947
Win average: 0.8441558441558441
Win average: 0.8461538461538461
Win average: 0.8354430379746836
Win average: 0.8375
Win average: 0.8395061728395061
Win average: 0.8414634146341463
Win average: 0.8433734939759037
Win average: 0.8452380952380952
Win average: 0.8352941176470589
Win average: 0.8372093023255814
Win average: 0.8390804597701149
Win average: 0.8409090909090909
Win average: 0.8426966292134831
Win average: 0.8444444444444444
Win average: 0.8461538461538461
Win average: 0.8478260869565217
Win average: 0.8387096774193549
Win average: 0.8404255319148937
Win average: 0.8421052631578947
Win average: 0.8333333333333334
Win average: 0.8350515463917526
Win average: 0.8367346938775511
Win average: 0.8383838383838383
Win average: 0.84
--------------- Score average: 189.68	Deviation: 174.84512461032483
--------------- Win average: 0.84
AI GAME TEST RESULT: 0.84
--- units: 8
Units on each side: 24
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.9230769230769231
Win average: 0.9285714285714286
Win average: 0.9333333333333333
Win average: 0.9375
Win average: 0.9411764705882353
Win average: 0.8888888888888888
Win average: 0.8947368421052632
Win average: 0.9
Win average: 0.9047619047619048
Win average: 0.9090909090909091
Win average: 0.9130434782608695
Win average: 0.9166666666666666
Win average: 0.92
Win average: 0.9230769230769231
Win average: 0.9259259259259259
Win average: 0.9285714285714286
Win average: 0.9310344827586207
Win average: 0.9333333333333333
Win average: 0.9354838709677419
Win average: 0.9375
Win average: 0.9393939393939394
Win average: 0.9411764705882353
Win average: 0.9428571428571428
Win average: 0.9444444444444444
Win average: 0.9459459459459459
Win average: 0.9473684210526315
Win average: 0.9487179487179487
Win average: 0.95
Win average: 0.9512195121951219
Win average: 0.9523809523809523
Win average: 0.9534883720930233
Win average: 0.9545454545454546
Win average: 0.9555555555555556
Win average: 0.9565217391304348
Win average: 0.9574468085106383
Win average: 0.9583333333333334
