Player0: Watcher's first state-based alg
Player1: AttackClosest
--- units: 4
Units on each side: 12
Win average: 0.0
Win average: 0.0
Win average: 0.3333333333333333
Win average: 0.5
Win average: 0.6
Win average: 0.6666666666666666
Win average: 0.7142857142857143
Win average: 0.75
Win average: 0.7777777777777778
Win average: 0.8
Win average: 0.8181818181818182
Win average: 0.8333333333333334
Win average: 0.8461538461538461
Win average: 0.8571428571428571
Win average: 0.8666666666666667
Win average: 0.875
Win average: 0.8823529411764706
Win average: 0.8888888888888888
Win average: 0.8947368421052632
Win average: 0.9
Win average: 0.9047619047619048
Win average: 0.9090909090909091
Win average: 0.9130434782608695
Win average: 0.9166666666666666
Win average: 0.92
Win average: 0.9230769230769231
Win average: 0.9259259259259259
Win average: 0.9285714285714286
Win average: 0.9310344827586207
Win average: 0.9333333333333333
Win average: 0.9354838709677419
Win average: 0.9375
Win average: 0.9393939393939394
Win average: 0.9411764705882353
Win average: 0.9428571428571428
Win average: 0.9444444444444444
Win average: 0.9459459459459459
Win average: 0.9473684210526315
Win average: 0.9487179487179487
Win average: 0.95
Win average: 0.9512195121951219
Win average: 0.9523809523809523
Win average: 0.9534883720930233
Win average: 0.9545454545454546
Win average: 0.9555555555555556
Win average: 0.9565217391304348
Win average: 0.9361702127659575
Win average: 0.9375
Win average: 0.9183673469387755
Win average: 0.92
Win average: 0.9215686274509803
Win average: 0.9230769230769231
Win average: 0.9245283018867925
Win average: 0.9259259259259259
Win average: 0.9272727272727272
Win average: 0.9285714285714286
Win average: 0.9298245614035088
Win average: 0.9137931034482759
Win average: 0.9152542372881356
Win average: 0.9166666666666666
Win average: 0.9180327868852459
Win average: 0.9193548387096774
Win average: 0.9206349206349206
Win average: 0.921875
Win average: 0.9230769230769231
Win average: 0.9242424242424242
Win average: 0.9253731343283582
Win average: 0.9264705882352942
Win average: 0.9130434782608695
Win average: 0.9142857142857143
Win average: 0.9154929577464789
Win average: 0.9166666666666666
Win average: 0.9178082191780822
Win average: 0.918918918918919
Win average: 0.9066666666666666
Win average: 0.9078947368421053
Win average: 0.9090909090909091
Win average: 0.9102564102564102
Win average: 0.9113924050632911
Win average: 0.9125
Win average: 0.9135802469135802
Win average: 0.9146341463414634
Win average: 0.9036144578313253
Win average: 0.8928571428571429
Win average: 0.8941176470588236
Win average: 0.8953488372093024
Win average: 0.896551724137931
Win average: 0.8977272727272727
Win average: 0.898876404494382
Win average: 0.9
Win average: 0.9010989010989011
Win average: 0.9021739130434783
Win average: 0.9032258064516129
Win average: 0.9042553191489362
Win average: 0.9052631578947369
Win average: 0.90625
Win average: 0.9072164948453608
Win average: 0.9081632653061225
Win average: 0.898989898989899
Win average: 0.9
--------------- Score average: 262.24	Deviation: 156.99013472189898
--------------- Win average: 0.9
AI GAME TEST RESULT: 0.9
--- units: 8
Units on each side: 24
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.9629629629629629
Win average: 0.9642857142857143
Win average: 0.9655172413793104
Win average: 0.9666666666666667
Win average: 0.967741935483871
Win average: 0.96875
Win average: 0.9696969696969697
Win average: 0.9705882352941176
Win average: 0.9714285714285714
Win average: 0.9722222222222222
Win average: 0.972972972972973
Win average: 0.9736842105263158
Win average: 0.9743589743589743
Win average: 0.975
Win average: 0.975609756097561
Win average: 0.9761904761904762
Win average: 0.9767441860465116
Win average: 0.9772727272727273
Win average: 0.9777777777777777
Win average: 0.9782608695652174
Win average: 0.9787234042553191
Win average: 0.9791666666666666
Win average: 0.9795918367346939
Win average: 0.98
Win average: 0.9803921568627451
Win average: 0.9807692307692307
Win average: 0.9811320754716981
Win average: 0.9814814814814815
Win average: 0.9818181818181818
Win average: 0.9821428571428571
Win average: 0.9824561403508771
Win average: 0.9827586206896551
Win average: 0.9830508474576272
Win average: 0.9833333333333333
Win average: 0.9836065573770492
Win average: 0.9838709677419355
Win average: 0.9841269841269841
Win average: 0.984375
Win average: 0.9846153846153847
Win average: 0.9848484848484849
Win average: 0.9850746268656716
Win average: 0.9852941176470589
Win average: 0.9855072463768116
Win average: 0.9857142857142858
Win average: 0.9859154929577465
Win average: 0.9861111111111112
Win average: 0.9863013698630136
Win average: 0.9864864864864865
Win average: 0.9866666666666667
Win average: 0.9868421052631579
Win average: 0.987012987012987
Win average: 0.9871794871794872
Win average: 0.9873417721518988
Win average: 0.9875
Win average: 0.9876543209876543
Win average: 0.9878048780487805
Win average: 0.9879518072289156
Win average: 0.9880952380952381
Win average: 0.9882352941176471
Win average: 0.9883720930232558
Win average: 0.9885057471264368
Win average: 0.9886363636363636
Win average: 0.9887640449438202
Win average: 0.9888888888888889
Win average: 0.989010989010989
Win average: 0.9891304347826086
Win average: 0.989247311827957
Win average: 0.9893617021276596
Win average: 0.9894736842105263
Win average: 0.9895833333333334
Win average: 0.9896907216494846
Win average: 0.9897959183673469
Win average: 0.98989898989899
Win average: 0.99
--------------- Score average: 302.29	Deviation: 93.95576565597237
--------------- Win average: 0.99
AI GAME TEST RESULT: 0.99
--- units: 16
Units on each side: 48
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
