Player0: Online Evolution
Player1: KiteDPS
--- units: 4
Units on each side: 12
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.75
Win average: 0.8
Win average: 0.8333333333333334
Win average: 0.8571428571428571
Win average: 0.75
Win average: 0.7777777777777778
Win average: 0.8
Win average: 0.8181818181818182
Win average: 0.8333333333333334
Win average: 0.8461538461538461
Win average: 0.8571428571428571
Win average: 0.8666666666666667
Win average: 0.875
Win average: 0.8823529411764706
Win average: 0.8888888888888888
Win average: 0.8947368421052632
Win average: 0.85
Win average: 0.8571428571428571
Win average: 0.8636363636363636
Win average: 0.8695652173913043
Win average: 0.875
Win average: 0.84
Win average: 0.8461538461538461
Win average: 0.8148148148148148
Win average: 0.8214285714285714
Win average: 0.8275862068965517
Win average: 0.8333333333333334
Win average: 0.8387096774193549
Win average: 0.84375
Win average: 0.8484848484848485
Win average: 0.8529411764705882
Win average: 0.8571428571428571
Win average: 0.8611111111111112
Win average: 0.8648648648648649
Win average: 0.868421052631579
Win average: 0.8717948717948718
Win average: 0.875
Win average: 0.8780487804878049
Win average: 0.8809523809523809
Win average: 0.8837209302325582
Win average: 0.8863636363636364
Win average: 0.8888888888888888
Win average: 0.8695652173913043
Win average: 0.8723404255319149
Win average: 0.875
Win average: 0.8571428571428571
Win average: 0.86
Win average: 0.8431372549019608
Win average: 0.8269230769230769
Win average: 0.8301886792452831
Win average: 0.8333333333333334
Win average: 0.8363636363636363
Win average: 0.8392857142857143
Win average: 0.8421052631578947
Win average: 0.8448275862068966
Win average: 0.847457627118644
Win average: 0.85
Win average: 0.8524590163934426
Win average: 0.8548387096774194
Win average: 0.8571428571428571
Win average: 0.859375
Win average: 0.8615384615384616
Win average: 0.8636363636363636
Win average: 0.8656716417910447
Win average: 0.8676470588235294
Win average: 0.8695652173913043
Win average: 0.8714285714285714
Win average: 0.8732394366197183
Win average: 0.875
Win average: 0.8767123287671232
Win average: 0.8783783783783784
Win average: 0.88
Win average: 0.868421052631579
Win average: 0.8701298701298701
Win average: 0.8717948717948718
Win average: 0.8607594936708861
Win average: 0.8625
Win average: 0.8641975308641975
Win average: 0.8536585365853658
Win average: 0.8554216867469879
Win average: 0.8571428571428571
Win average: 0.8588235294117647
Win average: 0.8604651162790697
Win average: 0.8620689655172413
Win average: 0.8636363636363636
Win average: 0.8651685393258427
Win average: 0.8555555555555555
Win average: 0.8571428571428571
Win average: 0.8478260869565217
Win average: 0.8494623655913979
Win average: 0.851063829787234
Win average: 0.8526315789473684
Win average: 0.8541666666666666
Win average: 0.8556701030927835
Win average: 0.8571428571428571
Win average: 0.8585858585858586
Win average: 0.85
--------------- Score average: 160.68	Deviation: 139.67239383643425
--------------- Win average: 0.85
AI GAME TEST RESULT: 0.85
--- units: 8
Units on each side: 24
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.9166666666666666
Win average: 0.9230769230769231
Win average: 0.9285714285714286
Win average: 0.9333333333333333
Win average: 0.9375
Win average: 0.9411764705882353
Win average: 0.9444444444444444
Win average: 0.9473684210526315
Win average: 0.95
Win average: 0.9523809523809523
Win average: 0.9545454545454546
Win average: 0.9130434782608695
Win average: 0.9166666666666666
Win average: 0.92
Win average: 0.9230769230769231
Win average: 0.9259259259259259
Win average: 0.9285714285714286
Win average: 0.9310344827586207
Win average: 0.9333333333333333
Win average: 0.9354838709677419
Win average: 0.9375
Win average: 0.9393939393939394
Win average: 0.9411764705882353
Win average: 0.9142857142857143
Win average: 0.9166666666666666
Win average: 0.918918918918919
Win average: 0.9210526315789473
Win average: 0.9230769230769231
Win average: 0.925
Win average: 0.926829268292683
Win average: 0.9285714285714286
Win average: 0.9302325581395349
Win average: 0.9318181818181818
Win average: 0.9333333333333333
Win average: 0.9130434782608695
Win average: 0.9148936170212766
Win average: 0.9166666666666666
Win average: 0.9183673469387755
Win average: 0.92
Win average: 0.9215686274509803
Win average: 0.9230769230769231
Win average: 0.9245283018867925
Win average: 0.9259259259259259
Win average: 0.9272727272727272
Win average: 0.9285714285714286
Win average: 0.9298245614035088
Win average: 0.9310344827586207
Win average: 0.9322033898305084
Win average: 0.9333333333333333
Win average: 0.9344262295081968
Win average: 0.9354838709677419
Win average: 0.9365079365079365
Win average: 0.9375
Win average: 0.9384615384615385
Win average: 0.9393939393939394
Win average: 0.9402985074626866
Win average: 0.9411764705882353
Win average: 0.927536231884058
Win average: 0.9285714285714286
Win average: 0.9295774647887324
Win average: 0.9305555555555556
Win average: 0.9315068493150684
Win average: 0.9324324324324325
Win average: 0.9333333333333333
Win average: 0.9342105263157895
Win average: 0.935064935064935
Win average: 0.9358974358974359
Win average: 0.9367088607594937
Win average: 0.9375
Win average: 0.9382716049382716
Win average: 0.9390243902439024
