Player0: Online Evolution
Player1: NOK-AV
--- units: 4
Units on each side: 12
--- units: 8
Units on each side: 24
--- units: 16
Units on each side: 48
--- units: 4
Units on each side: 12
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 1.0
Win average: 0.8571428571428571
Win average: 0.75
Win average: 0.7777777777777778
Win average: 0.8
Win average: 0.8181818181818182
Win average: 0.8333333333333334
Win average: 0.8461538461538461
Win average: 0.7857142857142857
Win average: 0.8
Win average: 0.8125
Win average: 0.8235294117647058
Win average: 0.8333333333333334
Win average: 0.8421052631578947
Win average: 0.85
Win average: 0.8571428571428571
Win average: 0.8636363636363636
Win average: 0.8260869565217391
Win average: 0.7916666666666666
Win average: 0.8
Win average: 0.7692307692307693
Win average: 0.7777777777777778
Win average: 0.7857142857142857
Win average: 0.7931034482758621
Win average: 0.7666666666666667
Win average: 0.7741935483870968
Win average: 0.75
Win average: 0.7575757575757576
Win average: 0.7352941176470589
Win average: 0.7428571428571429
Win average: 0.75
Win average: 0.7297297297297297
Win average: 0.7368421052631579
Win average: 0.7435897435897436
Win average: 0.75
Win average: 0.7560975609756098
Win average: 0.7619047619047619
Win average: 0.7674418604651163
Win average: 0.7727272727272727
Win average: 0.7777777777777778
Win average: 0.7608695652173914
Win average: 0.7446808510638298
Win average: 0.75
Win average: 0.7346938775510204
Win average: 0.74
Win average: 0.7450980392156863
Win average: 0.75
Win average: 0.7547169811320755
Win average: 0.7592592592592593
Win average: 0.7636363636363637
Win average: 0.7678571428571429
Win average: 0.7543859649122807
Win average: 0.7586206896551724
Win average: 0.7457627118644068
Win average: 0.75
Win average: 0.7540983606557377
Win average: 0.7580645161290323
Win average: 0.746031746031746
Win average: 0.734375
Win average: 0.7230769230769231
Win average: 0.7272727272727273
Win average: 0.7164179104477612
Win average: 0.7058823529411765
Win average: 0.7101449275362319
Win average: 0.7
Win average: 0.704225352112676
Win average: 0.7083333333333334
Win average: 0.6986301369863014
Win average: 0.7027027027027027
Win average: 0.6933333333333334
Win average: 0.6842105263157895
Win average: 0.6883116883116883
Win average: 0.6923076923076923
Win average: 0.6962025316455697
Win average: 0.6875
Win average: 0.691358024691358
Win average: 0.6951219512195121
Win average: 0.6987951807228916
Win average: 0.7023809523809523
Win average: 0.7058823529411765
Win average: 0.6976744186046512
Win average: 0.7011494252873564
Win average: 0.6931818181818182
Win average: 0.6966292134831461
Win average: 0.7
Win average: 0.7032967032967034
Win average: 0.7065217391304348
Win average: 0.6989247311827957
Win average: 0.6914893617021277
Win average: 0.6947368421052632
Win average: 0.6875
Win average: 0.6907216494845361
Win average: 0.6938775510204082
Win average: 0.696969696969697
Win average: 0.7
--------------- Score average: 74.3	Deviation: 127.29725055946805
--------------- Win average: 0.7
AI GAME TEST RESULT: 0.7
--- units: 8
Units on each side: 24
Win average: 0.0
Win average: 0.0
Win average: 0.3333333333333333
Win average: 0.25
Win average: 0.4
Win average: 0.5
Win average: 0.5714285714285714
Win average: 0.625
Win average: 0.6666666666666666
Win average: 0.7
Win average: 0.7272727272727273
Win average: 0.75
Win average: 0.7692307692307693
Win average: 0.7857142857142857
Win average: 0.8
Win average: 0.8125
Win average: 0.8235294117647058
Win average: 0.7777777777777778
Win average: 0.7894736842105263
Win average: 0.8
Win average: 0.7619047619047619
Win average: 0.7727272727272727
Win average: 0.782608695652174
Win average: 0.7916666666666666
Win average: 0.8
Win average: 0.8076923076923077
Win average: 0.8148148148148148
Win average: 0.7857142857142857
Win average: 0.7931034482758621
Win average: 0.8
Win average: 0.8064516129032258
Win average: 0.8125
Win average: 0.8181818181818182
Win average: 0.8235294117647058
Win average: 0.8
Win average: 0.7777777777777778
Win average: 0.7837837837837838
Win average: 0.7631578947368421
Win average: 0.7692307692307693
Win average: 0.75
Win average: 0.7560975609756098
Win average: 0.7619047619047619
Win average: 0.7674418604651163
Win average: 0.75
Win average: 0.7555555555555555
Win average: 0.7608695652173914
Win average: 0.7659574468085106
Win average: 0.7708333333333334
Win average: 0.7755102040816326
Win average: 0.78
Win average: 0.7843137254901961
Win average: 0.7884615384615384
Win average: 0.7924528301886793
Win average: 0.7962962962962963
Win average: 0.7818181818181819
Win average: 0.7857142857142857
Win average: 0.7719298245614035
Win average: 0.7758620689655172
Win average: 0.7627118644067796
Win average: 0.7666666666666667
Win average: 0.7540983606557377
Win average: 0.7580645161290323
Win average: 0.7619047619047619
Win average: 0.765625
Win average: 0.7692307692307693
Win average: 0.7727272727272727
Win average: 0.7611940298507462
Win average: 0.7647058823529411
Win average: 0.7681159420289855
Win average: 0.7714285714285715
Win average: 0.7746478873239436
Win average: 0.7638888888888888
Win average: 0.7534246575342466
Win average: 0.7567567567567568
Win average: 0.7466666666666667
Win average: 0.7368421052631579
Win average: 0.7272727272727273
Win average: 0.7307692307692307
Win average: 0.7341772151898734
Win average: 0.7375
Win average: 0.7407407407407407
Win average: 0.7439024390243902
Win average: 0.7469879518072289
Win average: 0.75
Win average: 0.7529411764705882
Win average: 0.7558139534883721
Win average: 0.7586206896551724
Win average: 0.7613636363636364
Win average: 0.7528089887640449
Win average: 0.7555555555555555
Win average: 0.7582417582417582
Win average: 0.7608695652173914
Win average: 0.7634408602150538
Win average: 0.7659574468085106
Win average: 0.7684210526315789
Win average: 0.7604166666666666
Win average: 0.7628865979381443
Win average: 0.7653061224489796
Win average: 0.7575757575757576
Win average: 0.75
--------------- Score average: 74.67	Deviation: 106.5775825396692
--------------- Win average: 0.75
AI GAME TEST RESULT: 0.75
--- units: 16
